No_of_crime,Location,Offences,Year
1041,Otago Coastal Area,Acts intended to cause injury,1995
65,Otago Coastal Area,Sexual assault and related offences,1995
78,Otago Coastal Area,Dangerous or negligent acts endangering persons,1995
330,Otago Coastal Area,"Abduction, harassment and other related offences against a person",1995
41,Otago Coastal Area,"Robbery, extortion and related offences",1995
574,Otago Coastal Area,"Unlawful entry with intent/burglary, break and enter",1995
960,Otago Coastal Area,Illicit drug offences,1995
173,Otago Coastal Area,Prohibited and regulated weapons and explosives offences,1995
676,Otago Coastal Area,Property damage and environmental pollution,1995
1605,Otago Coastal Area,Public order offences,1995
316,Otago Coastal Area,"Offences against justice procedures, government security and government operations",1995
61,Otago Coastal Area,Miscellaneous offences,1995
1,Otago Lakes Central Area,Homicide and related offences,1995
155,Otago Lakes Central Area,Acts intended to cause injury,1995
6,Otago Lakes Central Area,Sexual assault and related offences,1995
15,Otago Lakes Central Area,Dangerous or negligent acts endangering persons,1995
27,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",1995
18,Otago Lakes Central Area,"Robbery, extortion and related offences",1995
107,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",1995
233,Otago Lakes Central Area,Illicit drug offences,1995
36,Otago Lakes Central Area,Prohibited and regulated weapons and explosives offences,1995
113,Otago Lakes Central Area,Property damage and environmental pollution,1995
525,Otago Lakes Central Area,Public order offences,1995
54,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",1995
21,Otago Lakes Central Area,Miscellaneous offences,1995
3,Southland Area,Homicide and related offences,1995
672,Southland Area,Acts intended to cause injury,1995
37,Southland Area,Sexual assault and related offences,1995
42,Southland Area,Dangerous or negligent acts endangering persons,1995
203,Southland Area,"Abduction, harassment and other related offences against a person",1995
10,Southland Area,"Robbery, extortion and related offences",1995
491,Southland Area,"Unlawful entry with intent/burglary, break and enter",1995
468,Southland Area,Illicit drug offences,1995
183,Southland Area,Prohibited and regulated weapons and explosives offences,1995
742,Southland Area,Property damage and environmental pollution,1995
1292,Southland Area,Public order offences,1995
