No_of_crime,Location,Offences,Year
539,Auckland District,"Abduction, harassment and other related offences against a person",2005
225,Auckland District,"Robbery, extortion and related offences",2005
837,Auckland District,"Unlawful entry with intent/burglary, break and enter",2005
2423,Auckland District,Illicit drug offences,2005
831,Auckland District,Prohibited and regulated weapons and explosives offences,2005
1537,Auckland District,Property damage and environmental pollution,2005
2333,Auckland District,"Offences against justice procedures, government security and government operations",2005
167,Auckland District,Miscellaneous offences,2005
44,Counties/Manukau District,Homicide and related offences,2005
146,Counties/Manukau District,Sexual assault and related offences,2005
87,Counties/Manukau District,Dangerous or negligent acts endangering persons,2005
852,Counties/Manukau District,"Abduction, harassment and other related offences against a person",2005
192,Counties/Manukau District,"Robbery, extortion and related offences",2005
1031,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",2005
3011,Counties/Manukau District,Theft and related offences,2005
428,Counties/Manukau District,"Fraud, deception and related offences",2005
1328,Counties/Manukau District,Illicit drug offences,2005
809,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,2005
1667,Counties/Manukau District,Property damage and environmental pollution,2005
2175,Counties/Manukau District,Public order offences,2005
2068,Counties/Manukau District,"Offences against justice procedures, government security and government operations",2005
336,Counties/Manukau District,Miscellaneous offences,2005
5,Waikato District,Homicide and related offences,2005
1942,Waikato District,Acts intended to cause injury,2005
96,Waikato District,Sexual assault and related offences,2005
23,Waikato District,Dangerous or negligent acts endangering persons,2005
92,Waikato District,"Robbery, extortion and related offences",2005
1199,Waikato District,"Unlawful entry with intent/burglary, break and enter",2005
3149,Waikato District,Theft and related offences,2005
505,Waikato District,"Fraud, deception and related offences",2005
1624,Waikato District,Illicit drug offences,2005
514,Waikato District,Prohibited and regulated weapons and explosives offences,2005
1363,Waikato District,Property damage and environmental pollution,2005
2863,Waikato District,Public order offences,2005
1340,Waikato District,"Offences against justice procedures, government security and government operations",2005
118,Waikato District,Miscellaneous offences,2005
12,Bay Of Plenty District,Homicide and related offences,2005
2557,Bay Of Plenty District,Acts intended to cause injury,2005
44,Bay Of Plenty District,Dangerous or negligent acts endangering persons,2005
592,Bay Of Plenty District,"Abduction, harassment and other related offences against a person",2005
105,Bay Of Plenty District,"Robbery, extortion and related offences",2005
1886,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",2005
460,Bay Of Plenty District,"Fraud, deception and related offences",2005
1594,Bay Of Plenty District,Illicit drug offences,2005
567,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,2005
1636,Bay Of Plenty District,Property damage and environmental pollution,2005
1487,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",2005
90,Bay Of Plenty District,Miscellaneous offences,2005
5,Hawkes Bay Area,Homicide and related offences,2005
61,Hawkes Bay Area,Sexual assault and related offences,2005
26,Hawkes Bay Area,Dangerous or negligent acts endangering persons,2005
281,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",2005
86,Hawkes Bay Area,"Robbery, extortion and related offences",2005
618,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",2005
2460,Hawkes Bay Area,Theft and related offences,2005
237,Hawkes Bay Area,"Fraud, deception and related offences",2005
690,Hawkes Bay Area,Illicit drug offences,2005
220,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,2005
644,Hawkes Bay Area,Property damage and environmental pollution,2005
1504,Hawkes Bay Area,Public order offences,2005
613,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",2005
46,Hawkes Bay Area,Miscellaneous offences,2005
5,Tairawhiti Area,Homicide and related offences,2005
20,Tairawhiti Area,Sexual assault and related offences,2005
12,Tairawhiti Area,Dangerous or negligent acts endangering persons,2005
116,Tairawhiti Area,"Abduction, harassment and other related offences against a person",2005
15,Tairawhiti Area,"Robbery, extortion and related offences",2005
686,Tairawhiti Area,Theft and related offences,2005
82,Tairawhiti Area,"Fraud, deception and related offences",2005
360,Tairawhiti Area,Illicit drug offences,2005
310,Tairawhiti Area,Property damage and environmental pollution,2005
777,Tairawhiti Area,Public order offences,2005
327,Tairawhiti Area,"Offences against justice procedures, government security and government operations",2005
21,Tairawhiti Area,Miscellaneous offences,2005
6,Manawatu Area,Homicide and related offences,2005
1113,Manawatu Area,Acts intended to cause injury,2005
54,Manawatu Area,Sexual assault and related offences,2005
13,Manawatu Area,Dangerous or negligent acts endangering persons,2005
240,Manawatu Area,"Abduction, harassment and other related offences against a person",2005
42,Manawatu Area,"Robbery, extortion and related offences",2005
570,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",2005
1838,Manawatu Area,Theft and related offences,2005
235,Manawatu Area,"Fraud, deception and related offences",2005
528,Manawatu Area,Illicit drug offences,2005
227,Manawatu Area,Prohibited and regulated weapons and explosives offences,2005
691,Manawatu Area,Property damage and environmental pollution,2005
802,Manawatu Area,Public order offences,2005
114,Manawatu Area,Miscellaneous offences,2005
2,Taranaki Area,Homicide and related offences,2005
857,Taranaki Area,Acts intended to cause injury,2005
63,Taranaki Area,Sexual assault and related offences,2005
8,Taranaki Area,Dangerous or negligent acts endangering persons,2005
216,Taranaki Area,"Abduction, harassment and other related offences against a person",2005
37,Taranaki Area,"Robbery, extortion and related offences",2005
405,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",2005
900,Taranaki Area,Theft and related offences,2005
195,Taranaki Area,"Fraud, deception and related offences",2005
383,Taranaki Area,Illicit drug offences,2005
158,Taranaki Area,Prohibited and regulated weapons and explosives offences,2005
855,Taranaki Area,Public order offences,2005
300,Taranaki Area,"Offences against justice procedures, government security and government operations",2005
9,Taranaki Area,Miscellaneous offences,2005
4,Whanganui Area,Homicide and related offences,2005
17,Whanganui Area,Sexual assault and related offences,2005
6,Whanganui Area,Dangerous or negligent acts endangering persons,2005
189,Whanganui Area,"Abduction, harassment and other related offences against a person",2005
24,Whanganui Area,"Robbery, extortion and related offences",2005
655,Whanganui Area,Theft and related offences,2005
75,Whanganui Area,"Fraud, deception and related offences",2005
188,Whanganui Area,Illicit drug offences,2005
341,Whanganui Area,Property damage and environmental pollution,2005
418,Whanganui Area,Public order offences,2005
249,Whanganui Area,"Offences against justice procedures, government security and government operations",2005
12,Whanganui Area,Miscellaneous offences,2005
10,Wellington District,Homicide and related offences,2005
133,Wellington District,Sexual assault and related offences,2005
30,Wellington District,Dangerous or negligent acts endangering persons,2005
928,Wellington District,"Abduction, harassment and other related offences against a person",2005
150,Wellington District,"Robbery, extortion and related offences",2005
998,Wellington District,"Unlawful entry with intent/burglary, break and enter",2005
482,Wellington District,"Fraud, deception and related offences",2005
1484,Wellington District,Illicit drug offences,2005
603,Wellington District,Prohibited and regulated weapons and explosives offences,2005
2168,Wellington District,Property damage and environmental pollution,2005
2259,Wellington District,"Offences against justice procedures, government security and government operations",2005
